ada,title,amount,locations,why,from_whom,into_what,afm
6Σ5Η46ΜΔΨΟ-ΖΝ4,"Απόφαση συγκρότησης συνεργείων εργασίας με εναλλαγή βαρδιών, αποτελούμενων από τους υπαλλήλους της Υπηρεσίας Υποδοχής και Ταυτοποίησης της Γενικής Γραμματείας Υποδοχής Αιτούντων Άσυλο του Υπουργείου Μετανάστευσης και Ασύλου, για τον μήνα Ιούλιο έτους 2026",Δεν αναφέρεται,Υπηρεσία Υποδοχής και Ταυτοποίησης της Γενικής Γραμματείας Υποδοχής Αιτούντων Άσυλο του Υπουργείου Μετανάστευσης και Ασύλου,Συγκρότηση συνεργείων εργασίας με εναλλαγή βαρδιών για τον μήνα Ιούλιο έτους 2026,Ο Προϊστάμενος της Γενικής Διεύθυνσης Διοικητικών και Οικονομικών Υπηρεσιών του Υπουργείου Μετανάστευσης και Ασύλου,Συγκρότηση συνεργείων εργασίας με εναλλαγή βαρδιών για τους υπαλλήλους της Υπηρεσίας Υποδοχής και Ταυτοποίησης της Γενικής Γραμματείας Υποδοχής Αιτούντων Άσυλο,Δεν αναφέρεται
Ψ6Γ746ΜΔΨΟ-ΝΒΛ,"4η Τροποποίηση της Πράξης «Επιχορήγηση ΜΚΟ ΦΑΡΟΣ ΕΛΠΙΔΑΣ για την υλοποίηση του έργου ""ΚΦΑΑ LIGHTHOUSE""» με Κωδικό ΟΠΣ 6016464 στο Πρόγραμμα «Πρόγραμμα Ελλάδας - Ταμείο Ασύλου, Μετανάστευσης και Ένταξης 2021-2027"".","1.203.670,00€",Αττική,"Βελτίωση της ποιότητας ζωής, 24ωρη φροντίδα και προστασία, κάλυψη βιοτικών, κοινωνικών, συναισθηματικών, ψυχικών, μαθησιακών και ενταξιακών αναγκών, καθώς και σταδιακή αυτονόμηση ασυνόδευτων ανηλίκων.","Υπουργείο Μετανάστευσης & Ασύλου, Γενική Γραμματεία Μεταναστευτικής Πολιτικής, Ειδική Υπηρεσία Συντονισμού & Διαχείρισης Προγραμμάτων Μετανάστευσης & Εσωτερικών Υποθέσεων (ΕΥΣΥΔ-ΜΕΥ), Ταμείο Ασύλου, Μετανάστευσης και Ένταξης","ΜΚΟ ΦΑΡΟΣ ΕΛΠΙΔΑΣ για τη λειτουργία του Κέντρου Φιλοξενίας Ασυνόδευτων Ανηλίκων ""ΚΦΑΑ LIGHTHOUSE""",
ΨΕΜΠ46ΜΔΨΟ-ΚΛΛ,Ανάκληση διορισμού υπαλλήλου Πανεπιστημιακής Εκπαίδευσης στο Υπουργείο Μετανάστευσης και Ασύλου,Δεν αναφέρεται χρηματικό ποσό.,"Αγ. Ιωάννης Ρέντης (έδρα Υπουργείου), Γενική Γραμματεία Υποδοχής Αιτούντων Άσυλο, Υπηρεσία Υποδοχής και Ταυτοποίησης, Διεύθυνση Υποστήριξης, Τμήμα Κινητών Μονάδων Καταγραφής και Συντονισμού Μετακινήσεων, Κλειστές Ελεγχόμενες Δομές (Κ.Ε.Δ.), Κέντρα Υποδοχής και Ταυτοποίησης (Κ.Υ.Τ.).",Ανάκληση διορισμού υπαλλήλου λόγω μη αποδοχής θέσης Πανεπιστημιακής Εκπαίδευσης στο Υπουργείο Μετανάστευσης και Ασύλου.,"Υπουργείο Μετανάστευσης και Ασύλου, μέσω του Προϊσταμένου της Γενικής Διεύθυνσης Διοικητικών και Οικονομικών Υπηρεσιών.","Η απόφαση αφορά την ανάκληση διορισμού του Παπαντώνη Νικολάου του Κωνσταντίνου σε κενή οργανική θέση δημοσίου δικαίου στη Γενική Γραμματεία Υποδοχής Αιτούντων Άσυλο | Υπηρεσία Υποδοχής και Ταυτοποίησης | Διεύθυνση Υποστήριξης | Τμήμα Κινητών Μονάδων Καταγραφής και Συντονισμού Μετακινήσεων, κλάδου/ειδικότητας ΠΕ Διοικητικού Οικονομικού.",Δεν αναφέρεται.
ΡΥΔΔ46ΜΔΨΟ-56Φ,"ΠΡΟΣΚΛΗΣΗ 

ΓΙΑ ΤΗΝ ΥΠΟΒΟΛΗ ΠΡΟΤΑΣΗΣ 
ΣΤΟ «ΤΠΑ Υπουργείου Μετανάστευσης και Ασύλου 2026-2030»
ΑΞΟΝΑ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ:	1.16 «Διαχείριση Μεταναστευτικών Ροών από την υποδοχή έως την ένταξη» 

ΜΕ ΤΙΤΛΟ «Ενίσχυση του συστήματος προστασίας ασυνόδευτων ανηλίκων και ευάλωτων γυναικών αιτούντων και δικαιούχων διεθνούς προστασίας ΙΙ»","5.000.000,00€","Ασφαλείς Ζώνες σε Κλειστές Ελεγχόμενες Δομές (ΚΕΔ), Κέντρα Υποδοχής και Ταυτοποίησης (ΚΥΤ), Ελεγχόμενες Δομές Προσωρινής Φιλοξενίας Αιτούντων Άσυλο (ΕΔΠΦΑΑ), Δομές Επείγουσας Φιλοξενίας Ασυνόδευτων Ανηλίκων, Γραφεία Ενημέρωσης και Κινητές Ομάδες παιδικής προστασίας σε Αθήνα και Θεσσαλονίκη, Κέντρο Φιλοξενίας για ευάλωτες γυναίκες στην Αθήνα, καθώς και μετακινήσεις μεταξύ πόλεων, νησιών και δομών φιλοξενίας.","Για την ενίσχυση του συστήματος προστασίας ασυνόδευτων ανηλίκων και ευάλωτων γυναικών αιτούντων και δικαιούχων διεθνούς προστασίας. Συγκεκριμένα, για την παροχή υπηρεσιών σε Ασφαλείς Ζώνες (24ωρη φροντίδα, ψυχοκοινωνική/νομική υποστήριξη, κάλυψη βιοτικών αναγκών, υγεία, διερμηνεία, μετακίνηση), τη λειτουργία του Εθνικού Μηχανισμού Επείγουσας Ανταπόκρισης (εντοπισμός και άμεση στέγαση ασυνόδευτων ανηλίκων, λειτουργία θέσεων φιλοξενίας, Γραφείων Ενημέρωσης και Κινητών Ομάδων σε Αθήνα/Θεσσαλονίκη, τηλεδιερμηνεία), την παροχή υπηρεσιών συνοδείας ασυνόδευτων ανηλίκων και τη λειτουργία Κέντρου Φιλοξενίας για ευάλωτες γυναίκες και τα παιδιά τους στην Αθήνα, με σκοπό τη διασφάλιση της αξιοπρέπειας, την ενδυνάμωση και την κοινωνική τους ένταξη.",Υπουργείο Μετανάστευσης και Ασύλου (μέσω της Ειδικής Υπηρεσίας Συντονισμού και Διαχείρισης Προγραμμάτων Μετανάστευσης και Εσωτερικών Υποθέσεων - Ε.Υ.ΣΥ.Δ.-Μ.Ε.Υ.),"Γενική Γραμματεία Ευάλωτων Πολιτών και Θεσμικής Προστασίας, για το έργο «Ενίσχυση του συστήματος προστασίας ασυνόδευτων ανηλίκων και ευάλωτων γυναικών αιτούντων και δικαιούχων διεθνούς προστασίας ΙΙ»",Δεν αναφέρεται
ΨΩ9646ΜΔΨΟ-ΣΞ0,7η Τροποποίηση της Πράξης «Παροχή Υπηρεσιών Σίτισης στις ΚΕΔ Νήσων και ΚΥΤ Φυλακίου» με Κωδικό ΟΠΣ 6001425 στο Πρόγραμμα «Πρόγραμμα Ελλάδας - Μέσο Χρηματοδοτικής Στήριξης για τη Διαχείριση των Συνόρων και την Πολιτική Θεωρήσεων του Ταμείου για την Ολοκληρωμένη Διαχείριση των Συνόρων 2021-2027»,"117.605.539,91 €","ΚΕΔ Νήσων, ΚΥΤ Φυλακίου (Βόρεια Ελλάδα), ΠΕ Λέσβου, ΠΕ Χίου, Σάμος, Λοιπά νησιά","Χρηματοδότηση υπηρεσιών παρασκευής, μεταφοράς και διανομής γευμάτων σε πολίτες τρίτων χωρών και ανιθαγενείς που υπάγονται σε διαδικασίες υποδοχής και ταυτοποίησης, για την κάλυψη των διατροφικών τους αναγκών.","Υπουργείο Μετανάστευσης και Ασύλου (Γενική Γραμματεία Μεταναστευτικής Πολιτικής, Ειδική Υπηρεσία Συντονισμού και Διαχείρισης Προγραμμάτων Μετανάστευσης και Εσωτερικών Υποθέσεων) και το Ταμείο για την Ολοκληρωμένη Διαχείριση των Συνόρων.",ΥΠΗΡΕΣΙΑ ΥΠΟΔΟΧΗΣ ΚΑΙ ΤΑΥΤΟΠΟΙΗΣΗΣ για την Πράξη «Παροχή Υπηρεσιών Σίτισης στις ΚΕΔ Νήσων και ΚΥΤ Φυλακίου»,Δεν αναφέρεται
ΨΝΝΔ46ΜΔΨΟ-8ΞΑ,"Ανάληψη και Δέσμευση πίστωσης 18.600,00 € από τον Ε.Φ. 1055 101 , ΑΛΕ 2420906001 για την προμήθεια υπηρεσιών φωτογραφικής κάλυψης για τις ανάγκες του Υπουργείου Μετανάστευσης και Ασύλου","18.600,00 €",Υπουργείο Μετανάστευσης και Ασύλου,Για την προμήθεια υπηρεσιών φωτογραφικής κάλυψης για τις ανάγκες του Υπουργείου Μετανάστευσης και Ασύλου,Υπουργείο Μετανάστευσης και Ασύλου,Προμήθεια υπηρεσιών φωτογραφικής κάλυψης,
97ΧΞ46ΜΔΨΟ-ΣΞΣ,"Ανάληψη και Δέσμευση πίστωσης 4.500,00 € από τον Ε.Φ. 1055 101 , ΑΛΕ 2420402001 για την έκδοση
Χρηματικού Εντάλματος Προπληρωμής (Χ.Ε.Π.), για την κάλυψη εξόδων μετακίνησης του Γενικού Γραμματέα Ευάλωτων
Πολιτών και Θεσμικής Προστασίας του Υπουργείου Μετανάστευσης και Ασύλου, στο εξωτερικό, με ημερομηνία έως
30/09/2026 και χρόνο απόδοσης λογ/σμου 31/10/2026","4.500,00 €",στο εξωτερικό,"για την κάλυψη εξόδων μετακίνησης του Γενικού Γραμματέα Ευάλωτων Πολιτών και Θεσμικής Προστασίας του Υπουργείου Μετανάστευσης και Ασύλου, στο εξωτερικό",Υπουργείο Μετανάστευσης και Ασύλου,έξοδα μετακίνησης του Γενικού Γραμματέα Ευάλωτων Πολιτών και Θεσμικής Προστασίας,
9ΝΒΦ46ΜΔΨΟ-Α0Ν,"Ανάληψη και Δέσμευση πίστωσης 1.000,00 € από τον Ε.Φ. 1055 101 , ΑΛΕ 2420404001 για την έκδοση
Χρηματικού Εντάλματος Προπληρωμής (Χ.Ε.Π.), για την κάλυψη εξόδων κίνησης των Συνεργατών του Γενικού Γραμματέα
Ευάλωτων Πολιτών και Θεσμικής Προστασίας του Υπουργείου Μετανάστευσης και Ασύλου, στο εσωτερικό και στο
εξωτερικό, με ημερομηνία έως 30/09/2026 και χρόνο απόδοσης λογ/σμου 31/10/2026","1.000,00 €",στο εσωτερικό και στο εξωτερικό,για την κάλυψη εξόδων κίνησης των Συνεργατών του Γενικού Γραμματέα Ευάλωτων Πολιτών και Θεσμικής Προστασίας του Υπουργείου Μετανάστευσης και Ασύλου,Υπουργείο Μετανάστευσης και Ασύλου,Έξοδα κίνησης προσωπικού (Συνεργάτες του Γενικού Γραμματέα Ευάλωτων Πολιτών και Θεσμικής Προστασίας),
9ΖΦ946ΜΔΨΟ-16Ν,"Ανάληψη και Δέσμευση πίστωσης 3.000,00 € από τον Ε.Φ. 1055 101 , ΑΛΕ 2420401001 για την έκδοση
Χρηματικού Εντάλματος Προπληρωμής (Χ.Ε.Π.), για την κάλυψη εξόδων μετακίνησης του Γενικού Γραμματέα Ευάλωτων
Πολιτών και Θεσμικής Προστασίας του Υπουργείου Μετανάστευσης και Ασύλου, στο εσωτερικό, με ημερομηνία έως
30/09/2026 και χρόνο απόδοσης λογ/σμου 31/10/2026»","3.000,00 €",στο εσωτερικό,για την κάλυψη εξόδων μετακίνησης του Γενικού Γραμματέα Ευάλωτων Πολίτων και Θεσμικής Προστασίας του Υπουργείου Μετανάστευσης και Ασύλου,Υπουργείο Μετανάστευσης και Ασύλου,έξοδα μετακίνησης του Γενικού Γραμματέα Ευάλωτων Πολιτών και Θεσμικής Προστασίας,
6ΜΟ546ΜΔΨΟ-9ΤΤ,"Ανάληψη και Δέσμευση πίστωσης 1.000,00 € από τον Ε.Φ. 1055 101 , ΑΛΕ 2420405001 για την έκδοση
Χρηματικού Εντάλματος Προπληρωμής (Χ.Ε.Π.), για την κάλυψη εξόδων διανυκτέρευσης των Συνεργατών του Γενικού
Γραμματέα Ευάλωτων Πολιτών και Θεσμικής Προστασίας του Υπουργείου Μετανάστευσης και Ασύλου, στο εσωτερικό και
στο εξωτερικό, με ημερομηνία έως 30/09/2026 και χρόνο απόδοσης λογ/σμου 31/10/2026»","1.000,00 €",στο εσωτερικό και στο εξωτερικό,για την κάλυψη εξόδων διανυκτέρευσης των Συνεργατών του Γενικού Γραμματέα Ευάλωτων Πολιτών και Θεσμικής Προστασίας του Υπουργείου Μετανάστευσης και Ασύλου,Υπουργείο Μετανάστευσης και Ασύλου,έξοδα διανυκτέρευσης των Συνεργατών του Γενικού Γραμματέα Ευάλωτων Πολιτών και Θεσμικής Προστασίας,
